	url in NDE	last crawled	indexed in google?	_id
853	https://data.niaid.nih.gov/resources?id=veupathdb_DS_e150e28158	2/25/2024	no	veupathdb_DS_e150e28158
339	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY194	2/25/2024	no	IMMPORT_SDY194
451	https://data.niaid.nih.gov/resources?id=veupathdb_DS_b146c9913b	2/25/2024	no	veupathdb_DS_b146c9913b
36	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1963	3/11/2024	no	IMMPORT_SDY1963
250	https://data.niaid.nih.gov/resources?id=veupathdb_DS_b7fe1066d2	2/25/2024	no	veupathdb_DS_b7fe1066d2
424	https://data.niaid.nih.gov/resources?id=VDJ_PRJNA280743	2/25/2024	no	VDJ_PRJNA280743
207	https://data.niaid.nih.gov/resources?id=ZENODO_7043385	3/5/2024	no	ZENODO_7043385
326	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY508	2/25/2024	no	IMMPORT_SDY508
562	https://data.niaid.nih.gov/resources?id=veupathdb_DS_225f7390c4	2/25/2024	no	veupathdb_DS_225f7390c4
157	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1693	3/10/2024	no	IMMPORT_SDY1693
632	https://data.niaid.nih.gov/resources?id=veupathdb_DS_156f898056	2/25/2024	no	veupathdb_DS_156f898056
108	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY396	3/10/2024	no	IMMPORT_SDY396
532	https://data.niaid.nih.gov/resources?id=veupathdb_DS_f61c67cce6	2/25/2024	no	veupathdb_DS_f61c67cce6
804	https://data.niaid.nih.gov/resources?id=veupathdb_DS_3ee4ff3b98	2/25/2024	no	veupathdb_DS_3ee4ff3b98
230	https://data.niaid.nih.gov/resources?id=ZENODO_902692	2/26/2024	no	ZENODO_902692
190	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1514	3/10/2024	no	IMMPORT_SDY1514
13	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY217	3/11/2024	no	IMMPORT_SDY217
593	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2258	2/25/2024	no	IMMPORT_SDY2258
544	https://data.niaid.nih.gov/resources?id=veupathdb_DS_31c151e3e2	2/25/2024	no	veupathdb_DS_31c151e3e2
