	url in NDE	last crawled	indexed in google?	_id
422	https://data.niaid.nih.gov/resources?id=veupathdb_DS_737dfbb47e	2/25/2024	no	veupathdb_DS_737dfbb47e
984	https://data.niaid.nih.gov/resources?id=veupathdb_DS_e9c1ea4a8d	2/24/2024	no	veupathdb_DS_e9c1ea4a8d
670	https://data.niaid.nih.gov/resources?id=veupathdb_DS_e3365ae3b5	2/25/2024	no	veupathdb_DS_e3365ae3b5
939	https://data.niaid.nih.gov/resources?id=VDJ_PRJNA248475	2/24/2024	no	VDJ_PRJNA248475
597	https://data.niaid.nih.gov/resources?id=veupathdb_DS_19b83aa2be	2/25/2024	no	veupathdb_DS_19b83aa2be
437	https://data.niaid.nih.gov/resources?id=veupathdb_DS_c47a927f70	2/25/2024	no	veupathdb_DS_c47a927f70
472	https://data.niaid.nih.gov/resources?id=veupathdb_DS_bc5b0b299e	2/25/2024	no	veupathdb_DS_bc5b0b299e
31	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1960	3/11/2024	no	IMMPORT_SDY1960
127	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1876	3/10/2024	no	IMMPORT_SDY1876
186	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1432	3/10/2024	no	IMMPORT_SDY1432
289	https://data.niaid.nih.gov/resources?id=veupathdb_DS_2059b80084	2/25/2024	no	veupathdb_DS_2059b80084
10	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY13	3/11/2024	no	IMMPORT_SDY13
354	https://data.niaid.nih.gov/resources?id=veupathdb_DS_7975c06f90	2/25/2024	no	veupathdb_DS_7975c06f90
153	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2132	3/10/2024	no	IMMPORT_SDY2132
317	https://data.niaid.nih.gov/resources?id=clinepidb_DS_d70aacce42	2/25/2024	no	clinepidb_DS_d70aacce42
609	https://data.niaid.nih.gov/resources?id=veupathdb_DS_833d16a0c8	2/25/2024	no	veupathdb_DS_833d16a0c8
847	https://data.niaid.nih.gov/resources?id=veupathdb_DS_8b3f023c86	2/25/2024	no	veupathdb_DS_8b3f023c86
320	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1553	2/25/2024	no	IMMPORT_SDY1553
908	https://data.niaid.nih.gov/resources?id=VDJ_TAZQRXHQ	2/24/2024	no	VDJ_TAZQRXHQ
780	https://data.niaid.nih.gov/resources?id=veupathdb_DS_a127bb7b93	2/25/2024	no	veupathdb_DS_a127bb7b93
