url in NDE	last crawled	indexed in google?
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1657	3/11/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1965	3/11/2024	no
https://data.niaid.nih.gov/resources?id=veupathdb_DS_d503691653	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2041	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1473	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1108	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1656	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY524	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1930	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY746	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2174	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2039	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1260	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY354	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1162	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1231	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1889	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2016	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1418	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1684	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1688	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY97	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1773	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1155	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY618	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1397	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1426	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1924	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY241	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2117	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY30	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY51	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY302	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY368	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY259	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY376	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2037	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY471	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY549	3/10/2024	no
https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2176	3/10/2024	no
